run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_MinLength,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-1897.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,16,8,15,15,25,3,MINLEN:36 MAXINFO:36:0.5,7.586737632751465,395528,7346.0,8192.0,3673.0,2048.0
run-1869.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,16,8,3,3,25,33,MINLEN:36 MAXINFO:36:0.2,7.931079149246216,429440,7346.0,8192.0,3673.0,2048.0
run-1452.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,3,MINLEN:36 MAXINFO:36:0.2,7.361158847808838,392963,7346.0,8192.0,4763.0,2048.0
run-1861.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,16,8,3,3,25,3,MINLEN:36 MAXINFO:36:0.5,8.239490985870361,444307,7346.0,8192.0,3673.0,2048.0
run-1889.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,16,8,15,15,10,15,MINLEN:36 MAXINFO:36:0.8,6.818136692047119,358940,7346.0,8192.0,7346.0,2048.0
run-1723.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,30,15,33,33,25,26,MINLEN:36 MAXINFO:36:0.5,7.377715349197388,396777,7346.0,8192.0,5272.0,2048.0
run-1688.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,30,15,15,15,25,26,MINLEN:36 MAXINFO:36:0.8,6.736611843109131,354048,7346.0,8192.0,4763.0,1638.0
run-1655.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,30,15,3,3,25,33,MINLEN:36 MAXINFO:36:0.8,7.256675243377685,381848,7346.0,8192.0,7346.0,2048.0
run-1529.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,Trimmed.fastq,5,16,8,3,3,10,15,MINLEN:36 MAXINFO:36:0.8,9.147162437438965,499141,7346.0,8192.0,3673.0,2048.0
run-1937.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Trimmed.fastq,5,16,8,33,33,25,15,MINLEN:36 MAXINFO:36:0.8,8.222165822982788,447243,7346.0,8192.0,3673.0,2048.0
